state_in_path,x,y,sr,sf,tp,v,e
22,434,250,10,12,-100,0.9917648,0.008269312858114768
23,445,250,10,12,-100,0.9917648,0.008269312858114768
24,456,250,10,12,-100,0.9917648,0.008269312858114768
25,467,250,10,12,-100,0.9917648,0.008269312858114768
26,478,250,10,12,-100,0.9917648,0.008269312858114768
27,489,250,10,12,-100,0.9917648,0.008269312858114768
28,500,250,10,12,-100,0.9917648,0.008269312858114768
29,511,250,10,12,-100,0.9917648,0.008269312858114768
30,522,250,10,12,-100,0.9917648,0.008269312858114768
31,533,250,10,12,-100,0.9917648,0.008269312858114768
32,544,250,10,12,-100,0.9917648,0.008269312858114768
33,555,250,10,12,-100,0.9917648,0.008269312858114768
34,566,250,10,12,-100,0.9917648,0.008269312858114768
35,577,250,10,12,-100,0.9917648,0.008269312858114768
36,588,250,10,12,-100,0.9917648,0.008269312858114768
37,599,250,10,12,-100,0.9917648,0.008269312858114768
38,610,250,10,12,-100,0.9917648,0.008269312858114768
39,621,250,10,12,-100,0.9917648,0.008269312858114768
40,632,250,10,12,-100,0.9917648,0.008269312858114768
41,643,250,10,12,-100,0.9917648,0.008269312858114768
42,654,250,10,12,-100,0.9917648,0.008269312858114768
43,665,250,10,12,-100,0.9917648,0.008269312858114768
44,676,250,10,12,-100,0.9917648,0.008269312858114768
45,687,250,10,12,-100,0.9917648,0.008269312858114768
46,698,250,10,12,-100,0.9917648,0.008269312858114768
47,709,250,10,12,-100,0.9917648,0.008269312858114768
48,720,250,10,12,-100,0.9917648,0.008269312858114768
49,731,250,10,12,-100,0.9917648,0.008269312858114768
50,742,250,10,12,-100,0.9917648,0.008269312858114768
51,753,250,10,12,-100,0.9917648,0.008269312858114768
52,764,250,10,12,-100,0.9917648,0.008269312858114768
53,775,250,10,12,-100,0.9917648,0.008269312858114768
54,786,250,10,12,-100,0.9917648,0.008269312858114768
55,797,250,10,12,-100,0.9917648,0.008269312858114768
56,808,250,10,12,-100,0.9917648,0.008269312858114768
57,819,250,10,12,-100,0.9917648,0.008269312858114768
58,830,250,10,12,-100,0.9917648,0.008269312858114768
59,841,250,10,12,-100,0.9917648,0.008269312858114768
60,852,250,10,12,-100,0.9917648,0.008269312858114768
61,863,250,10,12,-100,0.9917648,0.008269312858114768
62,874,250,10,12,-100,0.9917648,0.008269312858114768
63,885,250,10,12,-100,0.9917648,0.008269312858114768
64,896,250,10,12,-100,0.9917648,0.008269312858114768
65,907,250,10,12,-100,0.9917648,0.008269312858114768
66,918,250,10,12,-100,0.9917648,0.008269312858114768
67,929,250,10,12,-100,0.9917648,0.008269312858114768
68,940,250,10,12,-100,0.9917648,0.008269312858114768
69,951,250,10,12,-100,0.9917648,0.008269312858114768
70,962,250,10,12,-100,0.9917648,0.008269312858114768
71,973,250,10,12,-100,0.9917648,0.008269312858114768
72,984,250,10,12,-100,0.9917648,0.008269312858114768
73,995,250,10,12,-100,0.9917648,0.008269312858114768
74,1006,250,10,12,-100,0.9917648,0.008269312858114768
75,1017,250,10,12,-100,0.9917648,0.008269312858114768
76,1028,250,10,12,-100,0.9917648,0.008269312858114768
77,1039,250,10,12,-100,0.9917648,0.008269312858114768
